Date,Open,High,Low,Close,Volume
2021-01-05,127.362,130.173,126.902,129.445,98837299.150952
2021-01-04,131.937,132.027,125.268,127.88,145022130.38363
2020-12-31,132.486,133.134,130.153,131.12,100306414.64085
2020-12-30,133.932,134.38,131.818,132.137,97609967.912101
2020-12-29,136.414,137.142,132.745,133.264,122500417.23843
2020-12-28,132.396,135.726,131.927,135.078,125980611.29462
2020-12-24,129.754,131.878,129.535,130.403,55589463.140191
2020-12-23,130.591,130.861,129.216,129.395,89282760.385907
2020-12-22,130.043,132.805,128.119,130.313,171384781.58537
2020-12-21,123.533,126.784,121.978,126.704,122707096.73808
2020-12-18,127.432,127.571,124.63,125.168,194852828.47332
2020-12-17,127.372,128.05,126.514,127.172,95492537.937713
2020-12-16,125.896,126.844,125.069,126.285,99387519.336712
2020-12-15,122.855,126.374,122.646,126.354,159463812.65165
2020-12-14,121.14,121.888,120.094,120.333,80025242.844145
2020-12-11,120.981,121.3,119.126,120.961,87983441.236245
2020-12-10,119.076,122.407,118.738,121.779,82287934.550531
2020-12-09,123.045,124.461,119.566,120.333,116255442.65461
2020-12-08,122.885,123.493,121.629,122.895,82993188.183475
2020-12-07,120.862,123.085,120.802,122.287,87657854.145918
2020-12-04,121.14,121.4,120.074,120.802,79199884.981622
2020-12-03,122.058,122.317,120.762,121.479,79915584.379494
2020-12-02,120.572,121.908,119.456,121.619,90072631.334908
2020-12-01,119.576,122.008,118.598,121.26,129705360.02653
2020-11-30,115.587,119.536,115.428,117.641,171443832.15452
2020-11-27,115.189,116.085,114.839,115.209,47251828.907023
2020-11-25,114.162,115.368,113.793,114.65,77417556.02884
2020-11-24,112.556,114.471,111.26,113.793,115241201.40933
2020-11-23,115.797,116.215,112.408,112.496,129495384.50388
2020-11-20,117.243,117.362,115.897,115.947,74487856.994171
2020-11-19,116.185,117.651,115.428,117.233,75002648.443323
2020-11-18,117.203,118.409,116.595,116.625,77238306.94339
2020-11-17,118.14,119.236,117.551,117.98,75162547.687093
2020-11-16,117.511,119.556,116.744,118.878,92277609.538078
2020-11-13,118.03,118.259,116.465,117.851,82669203.96739
2020-11-12,118.21,119.106,117.163,117.801,104591330.8075
2020-11-11,115.807,118.22,115.059,118.08,113642980.31723
2020-11-10,114.172,116.185,112.776,114.591,139680268.10883
2020-11-09,119.076,120.542,114.67,114.939,156370168.06864
2020-11-06,116.913,117.791,114.75,117.282,115831911.72309
2020-11-05,116.345,118.0,115.289,117.412,128124930.03609
2020-11-04,112.586,114.012,110.832,113.384,140136257.74529
2020-11-03,108.17,109.975,107.253,108.947,109104313.51048
2020-11-02,107.631,109.187,105.857,107.293,124556352.2103
2020-10-30,109.546,110.473,106.246,107.383,193193911.80972
2020-10-29,110.852,115.349,110.682,113.753,148138489.03873
2020-10-28,113.484,113.853,109.586,109.685,145917006.64735
2020-10-27,113.913,115.697,112.986,115.019,93545601.423455
2020-10-26,112.457,114.969,111.36,113.484,113388632.86227
2020-10-23,114.81,114.969,112.726,113.474,83708040.003917
2020-10-22,115.867,116.435,113.035,114.172,103390315.59407
2020-10-21,115.089,117.093,114.869,115.289,91182762.174549
2020-10-20,114.621,117.372,114.052,115.917,126134588.52993
2020-10-19,118.339,118.788,114.082,114.401,122298161.19022
2020-10-16,119.636,119.894,117.203,117.412,116980503.52013
2020-10-15,117.113,119.556,116.545,119.076,114106938.18459
2020-10-14,119.356,121.36,118.0,119.546,153139455.67085
2020-10-13,123.563,123.683,118.03,119.456,265937564.78669
2020-10-12,118.439,123.473,117.671,122.705,243529953.61859
2020-10-09,113.713,115.418,113.354,115.388,101888861.76528
2020-10-08,114.67,114.82,113.035,113.404,84624986.381485
2020-10-07,113.065,113.972,112.576,113.514,98180685.428986
2020-10-06,114.122,114.541,110.732,111.64,163718854.97378
2020-10-05,112.368,115.069,112.008,114.919,107704722.44007
2020-10-02,111.37,113.793,110.702,111.5,146701815.20192
2020-10-01,116.037,116.115,114.251,115.209,117717127.54852
2020-09-30,112.248,115.677,112.078,114.232,144637006.24481
2020-09-29,112.996,113.743,112.028,112.536,101436385.81372
